Name	Last	Chg. % 1D Chg. Abs.	Date Time	ISIN	Bid Volume	Ask Volume	Maturity	Status
A1 TowersHold. 5,25%Notes23-28	103.940	+0.18% +0.190	07/05/2024 17:30:32	XS2644414125	- -	- -	07/13/2028	D
VERBUND 1,50 %  Notes 14-24	99.820	+0.02% +0.020	07/05/2024 17:30:31	XS1140300663	- -	- -	11/20/2024	D
Pierer Industrie 2,5%Anl.20-28	94.480	0.00% 0.000	07/05/2024 17:30:28	AT0000A2JSQ5	- -	- -	04/22/2028	D
OMV AG 1.875% Notes 18-28/S11	94.050	+0.27% +0.250	07/05/2024 17:30:28	XS1917590959	- -	- -	12/04/2028	D
Wienerberger Sust.Link.B.23-28	104.550	+0.38% +0.400	07/05/2024 17:30:27	AT0000A37249	- -	- -	10/04/2028	D
CA Immo 0,875% Anleihe 20-27	92.650	+0.14% +0.130	07/05/2024 17:30:25	XS2099128055	- -	- -	02/05/2027	D
1,375%voestalpine-Anl.17-24/S1	99.320	+0.04% +0.040	07/05/2024 17:30:25	AT0000A1Y3P7	- -	- -	09/27/2024	D
OMV 0,75% Anleihe 20-30/S.19	86.460	+0.32% +0.280	07/05/2024 17:30:23	XS2189613982	- -	- -	06/16/2030	D
CA Immo 1% Green Bonds 20-25	94.630	0.00% 0.000	07/05/2024 17:30:22	XS2248827771	- -	- -	10/27/2025	D
OMV 3,5% Anl. 12-27/S.6	100.460	+0.17% +0.170	07/05/2024 17:30:22	XS0834371469	- -	- -	09/27/2027	D
VERBUND 3,25% Green N. 24-31	100.270	+0.32% +0.320	07/05/2024 17:30:19	XS2821745374	- -	- -	05/17/2031	D
OMV 15y Notes 19-34	78.590	+0.50% +0.390	07/05/2024 17:30:18	XS2022093517	- -	- -	07/03/2034	D
Telek.Fin.1,5% Anl. 16-26	96.200	+0.12% +0.120	07/05/2024 17:30:18	XS1405762805	- -	- -	12/07/2026	D
voestalpine 1,75% Anl.19-26/S1	96.620	+0.04% +0.040	07/05/2024 17:30:16	AT0000A27LQ1	- -	- -	04/10/2026	D
PORR Und.Res,Fix R.Subo.N.2024	108.260	0.00% 0.000	07/05/2024 17:30:16	AT0000A39724	- -	- -	open-end	D
AT&S Unda.Res.Fixed.Subo.Notes	87.220	-0.06% -0.050	07/05/2024 17:30:14	XS2432941693	- -	- -	open-end	D
OMV 6y Notes 19-25	96.660	+0.03% +0.030	07/05/2024 17:30:14	XS2022093434	- -	- -	07/03/2025	D
OMV 1% Fi.Rate Notes 17-26/S.9	94.850	+0.14% +0.130	07/05/2024 17:30:14	XS1734689620	- -	- -	12/14/2026	D
OMV 2% Anleihe 20-28/S.16	95.810	+0.20% +0.190	07/05/2024 17:30:14	XS2154347707	- -	- -	04/09/2028	D
Borealis 1,75 % Notes 18-25	97.050	0.00% 0.000	07/05/2024 17:30:11	AT0000A24UY3	- -	- -	12/10/2025	D
Wienerberger 2,75% Bonds 20-25	98.580	+0.02% +0.020	07/05/2024 17:30:10	AT0000A2GLA0	- -	- -	06/04/2025	D
VERBUND 0,9%Green+Sust.N.21-41	66.080	+0.65% +0.430	07/05/2024 17:30:08	XS2320746394	- -	- -	04/01/2041	D
OMV 2,375% Anleihe 20-32/S.17	94.170	+0.37% +0.350	07/05/2024 17:30:05	XS2154348424	- -	- -	04/09/2032	D
HVbg 0,02% Notes 20-24/S.208	97.150	+0.05% +0.050	07/05/2024 17:01:52	XS2240271846	97.150 -	99.150 -	10/01/2024	D
HVbg 1,8% CZKGreenBd 20-25/186	95.700	0.00% 0.000	07/05/2024 17:01:52	XS2126053953	95.700 -	97.700 -	03/05/2025	D
HVbg 1,02% SV 20-35/DIP S183	72.100	0.00% 0.000	07/05/2024 17:01:52	XS2104132514	- -	- -	01/17/2035	D
HypoVbg 0,36% IHS 20-26/S.182	92.850	0.00% 0.000	07/05/2024 17:01:52	XS2100387526	- -	- -	01/09/2026	D
HVbg 0,23% Notes 21-29/S.219	82.900	+0.06% +0.050	07/05/2024 17:01:52	XS2327980509	- -	- -	04/06/2029	D
HVbg 0,375% Notes 20-30/S.212	78.750	+0.06% +0.050	07/05/2024 17:01:52	XS2252219105	78.750 -	80.750 -	11/04/2030	D
HVbg Fix/Swap-li-FRN 18-28/158	90.100	0.00% 0.000	07/05/2024 17:01:51	XS1859330752	- -	- -	07/24/2028	D
HVbg var SV 19-29/S.175	96.050	0.00% 0.000	07/05/2024 17:01:51	XS2037749749	- -	- -	08/07/2029	D
HVbg 0,86% Anl. 19-34/S.179	72.400	0.00% 0.000	07/05/2024 17:01:51	XS2069329964	- -	- -	10/24/2034	D
HVbg fix/swap Rate Notes 01-31	94.750	+0.32% +0.300	07/05/2024 17:01:51	XS0132540955	- -	- -	07/11/2031	D
HVbg Fix/Swap-li-FRN 18-28/163	91.500	0.00% 0.000	07/05/2024 17:01:51	XS1915000753	- -	- -	11/27/2028	D
HVbg Fix/Swap-li-FRN 18-28/161	91.850	0.00% 0.000	07/05/2024 17:01:51	XS1892228401	- -	- -	10/11/2028	D
HVbg 5,50% NR-Anl.24-34/S.278	99.750	-0.25% -0.250	07/05/2024 17:01:51	AT0000A3DBT6	99.750 -	100.000 -	06/28/2034	D
HVbg 0,741% Anl.19-36/S.178	66.850	+0.07% +0.050	07/05/2024 17:01:51	XS2066563524	- -	- -	10/16/2036	D
HVbg Fix/Swap-li-FRN 18-28/159	91.200	-0.05% -0.050	07/05/2024 17:01:51	XS1877653581	- -	- -	09/13/2028	D
HVbg var-SV 19-29/S.170	95.150	0.00% 0.000	07/05/2024 17:01:51	XS2002726847	- -	- -	05/27/2029	D
HWBB 3,50% WB-WA 24-34/9 VBG	100.050	0.00% 0.000	07/05/2024 17:01:51	AT0000A3BPT0	100.050 -	102.050 -	04/24/2034	D
HVbg 3,70% Anleihe 23-26/S.264	99.350	-0.05% -0.050	07/05/2024 17:01:50	AT0000A36X69	99.350 -	100.350 -	09/11/2026	D
HWBB 3,50% WB-WA 24-34/4 VBG	99.700	0.00% 0.000	07/05/2024 17:01:50	AT0000A3A1Y9	99.700 -	101.700 -	02/21/2034	D
HVbg 3,25% Anleihe 24-29/S.270	98.350	+0.31% +0.300	07/05/2024 17:01:50	AT0000A39K95	98.350 -	99.850 -	01/15/2029	D
HWBB 4,00% WB-WA 23-33/18 VBG	105.100	0.00% 0.000	07/05/2024 17:01:50	AT0000A38J81	105.100 -	107.100 -	12/22/2033	D
HypVbg 3,7% KMU Anl.23-28/S266	100.350	0.00% 0.000	07/05/2024 17:01:50	AT0000A381H1	100.350 -	101.850 -	01/25/2028	D
HVbg 3,25% Anleihe 24-27/S.269	99.150	+0.15% +0.150	07/05/2024 17:01:50	AT0000A39K87	99.150 -	100.150 -	01/15/2027	D
HWBB 4,00% WB-WA 23-33/13, VBG	105.000	0.00% 0.000	07/05/2024 17:01:50	AT0000A373X5	105.000 -	107.000 -	10/18/2033	D
HVbg 3,70% Anleihe 23-28/S.265	99.800	-0.05% -0.050	07/05/2024 17:01:50	AT0000A36X77	100.000 10,000	101.300 -	09/11/2028	D
HVbg 3,8%GreenBond23-26/S.267	100.000	0.00% 0.000	07/05/2024 17:01:50	AT0000A38JB4	100.000 -	101.000 -	06/18/2026	D
HWBB 4 % WB-WA 23-33/17 VBG	105.100	0.00% 0.000	07/05/2024 17:01:50	AT0000A37UU3	105.100 -	107.100 -	11/15/2033	D
